dyadid,year,ccode,ctry,conflictid,sidea2nd,side_b,sideb2nd,rebbest2010,lnintv_ratiolag,lnratio_scale,multreb,lnbdbest,lnarea,age,lagpolityalt,laggdpper,lnlagtpop,lngov,lagrebdum2010,lagreb2010
1,1992,615,Algeria,191,,FIS/MIA,,0,,-4.2413268,0,5.433722,13.31321,7,-2,8.4010544,10.15203,0,0,0
1,1993,615,Algeria,191,,FIS/MIA,,0,0,-2.4087453,0,7.6014018,13.31321,8,-7,8.4000254,10.17622,0,0,0
1,1994,615,Algeria,191,,FIS/MIA,,0,0,-2.4849067,0,7.75876,13.31321,9,-7,8.3388319,10.19966,0,0,0
1,1995,615,Algeria,191,,FIS/MIA,,0,0,-2.9311938,0,8.2887859,13.31321,10,-7,8.3096199,10.2218,0,0,0
1,1996,615,Algeria,191,,FIS/MIA,,0,0,-3.138833,1,6.9893351,13.31321,11,-3,8.346324,10.2421,0,0,0
1,1997,615,Algeria,191,,FIS/MIA,,0,0,-3.3440387,1,7.189168,13.31321,12,-3,8.4502239,10.25997,0,0,0
2,1991,615,Algeria,191,,Exile and Redemption,,0,,,1,3.4657359,13.31321,0,-2,8.3607502,10.12751,0,0,0
3,1993,615,Algeria,191,,GIA,,26,,,1,7.6014018,13.31321,1,-7,8.4000254,10.17622,0,0,0
3,1994,615,Algeria,191,,GIA,,0,0,,1,7.75876,13.31321,2,-7,8.3388319,10.19966,0,1,26
3,1995,615,Algeria,191,,GIA,,0,0,,1,8.2887859,13.31321,3,-7,8.3096199,10.2218,0,0,0
3,1996,615,Algeria,191,,GIA,,0,0,-3.138833,1,6.9893351,13.31321,4,-3,8.346324,10.2421,0,0,0
3,1997,615,Algeria,191,,GIA,,355,0,-3.3440387,1,7.189168,13.31321,5,-3,8.4502239,10.25997,0,0,0
3,1998,615,Algeria,191,,GIA,,129,0,-4.6821313,0,8.0146666,13.31321,6,-3,8.4474764,10.27677,0,1,355
3,1999,615,Algeria,191,,GIA,,125,0,-4.1997051,1,6.9450512,13.31321,7,-3,8.3867455,10.31165,0,1,129
3,2000,615,Algeria,191,,GIA,,222,0,-4.7874918,1,6.918695,13.31321,8,-3,8.4605045,10.33443,0,1,125
3,2001,615,Algeria,191,,GIA,,32,0,-4.7874918,1,6.914731,13.31321,9,-3,8.6574974,10.35682,0,1,222
3,2002,615,Algeria,191,,GIA,,220,0,-4.7874918,1,5.7203121,13.31321,10,-3,8.6186142,10.3376,0,1,32
3,2003,615,Algeria,191,,GIA,,0,0,-5.2983174,1,5.2933049,13.31321,11,-3,8.6375256,10.3524,0,1,220
4,1999,615,Algeria,191,,AQIM,,0,,-3.4303966,1,6.9450512,13.31321,1,-3,8.3867455,10.31165,0,0,0
4,2000,615,Algeria,191,,AQIM,,0,0,-4.0943446,1,6.918695,13.31321,2,-3,8.4605045,10.33443,0,0,0
4,2001,615,Algeria,191,,AQIM,,0,0,-4.0943446,1,6.914731,13.31321,3,-3,8.6574974,10.35682,0,0,0
4,2002,615,Algeria,191,,AQIM,,0,0,-4.0943446,1,5.7203121,13.31321,4,-3,8.6186142,10.3376,0,0,0
4,2003,615,Algeria,191,,AQIM,,0,0,-4.7303333,1,5.2933049,13.31321,5,-3,8.6375256,10.3524,0,0,0
4,2004,615,Algeria,191,"Chad, Mali, Niger",AQIM,,65,0,-5.5373344,0,5.9107971,13.31321,6,-3,8.7014313,10.36873,0,0,0
4,2005,615,Algeria,191,,AQIM,,0,,-5.6131282,0,5.537334,13.31321,7,2,8.79179,10.3848,0,1,65
4,2006,615,Algeria,191,,AQIM,,37,0,-5.6131282,0,5.545177,13.31321,8,2,,10.40141,0,0,0
4,2007,615,Algeria,191,,AQIM,,0,0,-5.6835799,0,6.1506028,13.31321,9,2,,10.41873,0,1,37
4,2008,615,Algeria,191,,AQIM,,0,0,-5.6835799,0,5.8289461,13.31321,10,2,,10.43694,0,0,0
7,1989,540,Angola,131,Cuba,UNITA,,63,,-1.10219,0,7.9412961,13.97074,14,-7,6.5652652,9.0710783,0,,
7,1990,540,Angola,131,,UNITA,,51,-3.8918204,-1.10219,0,7.8473721,13.88314,15,-7,6.5453496,9.1838942,0,1,63
7,1991,540,Angola,131,,UNITA,,0,0,-1.10219,0,6.1984792,13.88314,16,-7,6.6998329,9.2123384,0,1,51
7,1992,540,Angola,131,,UNITA,,0,0,-1.0498221,1,7.7501841,13.88314,17,-3,6.8336134,9.1606255,0,0,0
7,1993,540,Angola,131,,UNITA,,343,0,-1.0451491,1,9.3972349,13.88314,18,0,6.9515905,9.2694578,0,0,0
7,1994,540,Angola,131,,UNITA,,35,0,-.78944135,1,8.2751217,13.88314,19,-1,7.057106,9.2235527,0,1,343
7,1995,540,Angola,131,,UNITA,,47,0,-.75397676,1,5.09375,13.78762,20,-1,7.1525431,9.255887,0,1,35
7,1996,540,Angola,131,,UNITA,,64,0,-.67045581,1,0,13.78762,20,-2,7.2396598,9.255887,0,1,47
7,1997,540,Angola,131,,UNITA,,0,0,-.71468908,1,0,13.78762,20,-2,7.3197923,9.255887,0,1,64
7,1998,540,Angola,131,,UNITA,,64,0,-1.2718415,1,6.9488969,13.54568,23,-2,7.3939767,9.3560848,0,0,0
7,1999,540,Angola,131,Namibia,UNITA,,375,0,-.61420399,1,7.7292962,13.54568,24,-3,7.4630361,9.4002991,0,1,64
7,2000,540,Angola,131,Namibia,UNITA,,267,-1.704748,-.8382225,1,6.9087548,13.54568,25,-3,7.5276327,9.4318027,0,1,375
7,2001,540,Angola,131,Namibia,UNITA,,1132,-1.704748,-1.0527823,1,7.0246491,13.54568,26,-3,7.5883136,9.4632759,0,1,267
7,2002,540,Angola,131,Namibia,UNITA,,55,-1.704748,-1.1634268,1,6.023448,13.54568,27,-3,7.6118426,9.4636641,0,1,1132
12,1991,516,Burundi,90,,Hutu Rebels,,0,,,1,5.6094718,9.9329643,0,-7,6.6533017,8.6048374,0,0,0
12,1992,516,Burundi,90,,Hutu Rebels,,0,0,,1,4.1271338,9.9329643,1,-7,6.7214861,8.6340866,0,0,0
12,1993,516,Burundi,90,,Hutu Rebels,,0,0,,1,0,9.9329643,2,-3,6.7297406,8.6631966,0,0,0
12,1994,516,Burundi,90,,Hutu Rebels,,0,0,-3.4011972,1,4.0430508,9.9329643,3,0,6.5778751,8.6602535,0,0,0
12,1995,516,Burundi,90,,Hutu Rebels,,158,0,-3.4011972,1,5.5412641,9.9329643,4,0,6.5542607,8.6784611,7.0201907,0,0
12,1996,516,Burundi,90,,Hutu Rebels,,600,0,-2.1747518,1,6.2747622,9.9329643,5,0,6.6078658,8.6965103,7.3414841,1,158
12,1997,516,Burundi,90,,Hutu Rebels,,453,0,-2.1747518,1,6.4614682,9.9329643,6,-5,6.5657859,8.7140751,5.2983174,1,600
12,1998,516,Burundi,90,,Hutu Rebels,,428,0,-1.7391157,1,7.1300979,9.9329643,7,-5,6.6301026,8.7313366,5.7525725,1,453
12,1999,516,Burundi,90,,Hutu Rebels,,250,0,-1.8607523,1,6.2245579,9.9329643,8,-1,6.5893116,8.7729197,4.934474,1,428
12,2000,516,Burundi,90,,Hutu Rebels,,177,0,-1.241713,1,7.202661,9.9329643,9,-1,6.677537,8.7895079,5.855072,1,250
12,2001,516,Burundi,90,,CNDD-FDD,,58,0,-.94446164,1,7.5786572,9.9329643,3,-1,6.5494218,8.8091164,0,1,177
13,1997,,,,,,,0,,,,,,,,,,5.2983174,0,0
14,2002,516,Burundi,90,,CNDD-FDD,,88,,-.94446164,1,7.0003338,9.9329643,4,0,6.5780702,8.8315659,5.3890719,0,0
14,2003,516,Burundi,90,,CNDD-FDD,,83,0,-.84397012,1,6.8627582,9.9329643,5,2,6.6624427,8.8582268,4.4659081,1,88
15,2001,516,Burundi,90,,Palipehutu-FNL,,0,,-.94446164,1,7.5786572,9.9329643,4,-1,6.5494218,8.8091164,0,0,0
15,2002,516,Burundi,90,,Palipehutu-FNL,,79,0,-.94446164,1,7.0003338,9.9329643,5,0,6.5780702,8.8315659,5.3890719,0,0
15,2003,516,Burundi,90,,Palipehutu-FNL,,25,0,-.84397012,1,6.8627582,9.9329643,6,2,6.6624427,8.8582268,4.4659081,1,79
15,2004,516,Burundi,90,,Palipehutu-FNL,,209,0,-2.9957323,0,5.9348941,9.9329643,7,3,6.6684823,8.8833628,0,1,25
15,2005,516,Burundi,90,,Palipehutu-FNL,,68,0,-2.9957323,0,5.655992,9.9329643,8,5,6.7592554,8.9070711,0,1,209
15,2006,516,Burundi,90,,Palipehutu-FNL,,0,0,-2.9957323,0,4.9272542,9.9329643,9,6,,8.9302292,0,1,68
15,2007,516,Burundi,90,,Palipehutu-FNL,,0,0,-2.9957323,0,0,9.9329643,10,6,,8.9528637,0,0,0
15,2008,516,Burundi,90,,Palipehutu-FNL,,0,0,-2.9957323,0,5.3082681,9.9329643,11,6,,8.9749985,0,0,0
17,2001,,,,,,,0,,,,,,,,,,3.2580965,0,0
18,1989,,,,,,,0,,,,,,,,,,0,,
19,1989,483,Chad,91,,MOSANAT,,0,,-1.5129271,1,5.7557421,12.56616,1,-7,6.6306438,8.5796041,0,,
20,1989,483,Chad,91,,Islamic Legion,,0,,-1.5129271,1,5.7557421,12.56616,2,-7,6.6306438,8.5796041,0,,
20,1990,483,Chad,91,,Islamic Legion,,0,0,-1.1074618,1,7.7634459,12.56616,3,-7,6.6131158,8.6226339,4.1896548,0,0
21,1992,483,Chad,91,,CSNPD,,0,,-1.4816045,1,6.8001699,12.90363,0,-5,6.7256699,8.6688833,5.1357985,0,0
21,1993,483,Chad,91,,CSNPD,,0,0,-2.2925348,0,4.8598118,12.90363,1,-4,6.6967378,8.6929932,5.1239638,0,0
21,1994,483,Chad,91,,CSNPD,,0,0,-3.4011972,0,5.0875959,12.90363,2,-4,6.6869092,8.7157164,3.4339871,0,0
22,1992,483,Chad,91,,CNR,,0,,-1.4816045,1,6.8001699,12.90363,0,-5,6.7256699,8.6688833,5.1357985,0,0
22,1993,483,Chad,91,,CNR,,0,0,,1,4.8598118,12.90363,1,-4,6.6967378,8.6929932,5.1239638,0,0
22,1994,483,Chad,91,,CNR,,0,0,,1,5.0875959,12.90363,2,-4,6.6869092,8.7157164,3.4339871,0,0
23,1990,483,Chad,91,,MPS,,0,,-1.1074618,1,7.7634459,12.56616,0,-7,6.6131158,8.6226339,4.1896548,0,0
24,1992,483,Chad,91,,FNT,,0,,,1,6.8001699,12.90363,0,-5,6.7256699,8.6688833,5.1357985,0,0
24,1993,483,Chad,91,,FNT,,0,0,,1,4.8598118,12.90363,1,-4,6.6967378,8.6929932,5.1239638,0,0
24,1994,483,Chad,91,,FNT,,0,0,,1,5.0875959,12.90363,2,-4,6.6869092,8.7157164,3.4339871,0,0
25,1991,483,Chad,91,,MDD [-FANT],,0,,,1,4.234107,12.90363,0,-7,6.5037642,8.6459379,3.3322046,0,0
25,1992,483,Chad,91,,MDD [-FANT],,0,0,-1.4816045,1,6.8001699,12.90363,1,-5,6.7256699,8.6688833,5.1357985,0,0
25,1993,483,Chad,91,,MDD [-FANT],,0,0,,1,4.8598118,12.90363,2,-4,6.6967378,8.6929932,5.1239638,0,0
25,1994,483,Chad,91,,MDD [-FANT],,0,0,,1,5.0875959,12.90363,3,-4,6.6869092,8.7157164,3.4339871,0,0
25,1995,483,Chad,91,,MDD [-FANT],,0,0,,1,0,12.90363,4,-4,6.7208714,8.73456,3.871201,0,0
25,1996,483,Chad,91,,MDD [-FANT],,0,0,,1,0,12.90363,5,-4,6.7685161,8.7538452,0,0,0
25,1997,483,Chad,91,,MDD [-FANT],,0,0,,1,4.5849681,14.00054,6,-2,6.724205,8.7818623,4.4773369,0,0
25,1998,483,Chad,91,,MDD [-FANT],,0,0,,1,4.2626801,14.00054,7,-2,6.7196894,8.8101616,4.9836068,0,0
26,1997,483,Chad,91,,FARF,,30,,,1,4.5849681,14.00054,3,-2,6.724205,8.7818623,4.4773369,0,0
26,1998,483,Chad,91,,FARF,,0,0,,1,4.2626801,14.00054,4,-2,6.7196894,8.8101616,4.9836068,1,30
