country,ISOcode,cases,deaths,popdata2018,popdata2018_log,cases_log,deaths_log,ccode,country_name,country_id,v2x_polyarchy,v2x_libdem,v2x_partipdem
Aruba,ABW,92,0,105845,5.0246744,1.968483,0,,Palestine/Gaza,138,.13,.078000002,.111
Aruba,ABW,92,0,105845,5.0246744,1.968483,0,,Somaliland,139,.44100001,.26499999,.285
Aruba,ABW,92,0,105845,5.0246744,1.968483,0,,Hong Kong,167,.31799999,.255,.117
Aruba,ABW,92,0,105845,5.0246744,1.968483,0,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Afghanistan,AFG,714,23,37172386,7.5702205,2.854306,1.3802112,700,Afghanistan,36,.347,.212,.16
Angola,AGO,19,2,30809762,7.4886885,1.30103,.47712126,540,Angola,104,.38600001,.23,.105
Albania,ALB,475,24,2866376,6.4573331,2.6776071,1.39794,339,Albania,12,.48100001,.43099999,.28400001
United_Arab_Emirates,ARE,4933,28,9630959,6.9836698,3.6931992,1.4623981,,Palestine/Gaza,138,.13,.078000002,.111
United_Arab_Emirates,ARE,4933,28,9630959,6.9836698,3.6931992,1.4623981,,Somaliland,139,.44100001,.26499999,.285
United_Arab_Emirates,ARE,4933,28,9630959,6.9836698,3.6931992,1.4623981,,Palestine/West Bank,128,.28299999,.20999999,.20100001
United_Arab_Emirates,ARE,4933,28,9630959,6.9836698,3.6931992,1.4623981,,Hong Kong,167,.31799999,.255,.117
Argentina,ARG,2432,105,44494502,7.6483064,3.386142,2.0253057,160,Argentina,37,.81199998,.63099998,.52700001
Armenia,ARM,1111,17,2951776,6.4700837,3.0461047,1.2552725,371,Armenia,105,.80500001,.64099997,.53200001
Antigua_and_Barbuda,ATG,23,2,96286,4.9835677,1.3802112,.47712126,,Hong Kong,167,.31799999,.255,.117
Antigua_and_Barbuda,ATG,23,2,96286,4.9835677,1.3802112,.47712126,,Palestine/Gaza,138,.13,.078000002,.111
Antigua_and_Barbuda,ATG,23,2,96286,4.9835677,1.3802112,.47712126,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Antigua_and_Barbuda,ATG,23,2,96286,4.9835677,1.3802112,.47712126,,Somaliland,139,.44100001,.26499999,.285
Australia,AUS,6416,61,24992369,7.3978076,3.807332,1.7923917,900,Australia,67,.838,.78899997,.602
Austria,AUT,14234,384,8847037,6.9467978,4.1533575,2.5854607,305,Austria,144,.80900002,.72100002,.588
Azerbaijan,AZE,1197,13,9942334,6.9974885,3.0784569,1.1461281,373,Azerbaijan,106,.206,.07,.071999997
Burundi,BDI,5,1,11175378,7.0482621,.77815127,.30103001,516,Burundi,69,.162,.059,.12800001
Belgium,BEL,31119,4157,11422068,7.057745,4.4930396,3.6188846,211,Belgium,148,.88200003,.82200003,.61900002
Benin,BEN,35,1,11485048,7.060133,1.5563025,.30103001,434,Benin,52,.60299999,.461,.38800001
